Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo,Sentimento_Final
2022-07-30 23:16:51+00:00,1553520025637625856,"@LulaOficial Exatamente, a verdade contra a sua mentira. 😡😡😡😡",Lula," exatamente, a verdade contra a sua mentira. 😡😡😡😡",Neutro
2022-07-30 23:16:51+00:00,1553520024891047943,@gleisi @LulaOficial @CamiloSantanaCE @elmanofreitaspt Só rindo hahahahaha,Lula,    só rindo hahahahaha,Neutro
2022-07-30 23:16:49+00:00,1553520017127374848,"O Manifesto do Direito via USP, com 500 mil assinaturas, é a pá de cal no aloprado e imaginário golpe de Bolsonaro, a burguesia paulista reconhece a vitória de Lula como melhor opção que a a atual dinastia no poder. Moro desponta para o anonimato. O país volta a maio de 2013.",Lula,"o manifesto do direito via usp, com 500 mil assinaturas, é a pá de cal no aloprado e imaginário golpe de bolsonaro, a burguesia paulista reconhece a vitória de lula como melhor opção que a a atual dinastia no poder. moro desponta para o anonimato. o país volta a maio de 2013.",Negativo
2022-07-30 23:16:49+00:00,1553520014518620162,@DeputadoFederal @LulaOficial 22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,Lula,  22🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,Neutro
2022-07-30 23:16:49+00:00,1553520014342381569,"@LulaOficial Analisando, o molusco não sai as ruas, Bolsonaro que já levou uma facada sempre quando sai arrasta multidão. Mais uma mentira, vamos a próxima.",Lula," analisando, o molusco não sai as ruas, bolsonaro que já levou uma facada sempre quando sai arrasta multidão. mais uma mentira, vamos a próxima.",Neutro
2022-07-30 23:16:47+00:00,1553520009762185216,@LulaOficial @elmanofreitaspt #PTquadrilhaSaqueadoraDoBrasil,Lula,  ,Neutro
2022-07-30 23:16:47+00:00,1553520009288220672,@DeputadoFederal @LulaOficial Ta loco!,Lula,  ta loco!,Neutro
2022-07-30 23:16:47+00:00,1553520005723181058,@DeputadoFederal @LulaOficial 🤣🤣🤣🤣🤣🤣🤣🤣,Lula,  🤣🤣🤣🤣🤣🤣🤣🤣,Neutro
2022-07-30 23:16:46+00:00,1553520003642793986,"@LulaOficial @dilmabr https://t.co/QWqHeM8DlX
Pelo visto aprendeu a ler né ? Pois então relembre o que foi naquela época. Vale a pena recordar !!",Lula,   visto aprendeu a ler né ? pois então relembre o que foi naquela época. vale a pena recordar !!,Neutro
2022-07-30 23:16:45+00:00,1553520000941674496,Os 47% dos eleitores do Lula em apenas uma gravação. É tanta gente que a Paulista até ficou com trânsito 🤣🤣🤣🤣 https://t.co/QmggNgsAfp,Lula,os 47% dos eleitores do lula em apenas uma gravação. é tanta gente que a paulista até ficou com trânsito 🤣🤣🤣🤣 ,Neutro
2022-07-30 23:16:45+00:00,1553519999674900481,"@Nor_Niemand @CentralEleicoes Só votei no Lula/PT em 89, voto agora tranquila no 1o turno",Lula,"  só votei no lula/pt em 89, voto agora tranquila no 1o turno",Negativo
2022-07-30 23:16:44+00:00,1553519997179367427,@ptbrasil @LulaOficial https://t.co/SXxtGH0YYX,Lula,  ,Neutro
2022-07-30 23:16:43+00:00,1553519992762777600,"ASSISTA ANTES DE DAR RT OU CURTIR: https://t.co/WJWs3lxJCT 

Lula lá e Renan em Alagoas: política com “P” maiúsculo | Blog do Cadu Amaral 

Inscreva-se no canal! 👍 

#LulaNoPrimeiroTurno #Política #RenanCalheiros #Eleições2022",Lula,assista antes de dar rt ou curtir:  lula lá e renan em alagoas: política com “p” maiúsculo | blog do cadu amaral inscreva-se no canal! 👍    ,Negativo
2022-07-30 23:16:43+00:00,1553519992548823040,@Flamengo @Brasileirao LULA PRESIDENTE E HADDAD GOVERNADOR PELA GLÓRIA E HONRA DO NOSSO SENHOR JESUS CRISTO 🙏🙏🙏🙏🙏🙏🙏🙏✨💫⭐🌟😍❤️,Lula,  lula presidente e haddad governador pela glória e honra do nosso senhor jesus cristo 🙏🙏🙏🙏🙏🙏🙏🙏✨💫⭐🌟😍❤️,Neutro
2022-07-30 23:16:43+00:00,1553519991454154753,"@JohnConnorRJ1 @NewtonRPFilhobr @Anja191083 @asarock8 @Alexand92840726 @AlexandrePT13CV @ValdiviaLiette @CleuzaTur @borgescm @lacerdaeh @MarcioRomanha @Xavi93849835 @Ceissa_Med @RamosEneildes @joaodomenech @Adelinakassiano @AntifasMandela @carlos_verzaro @DanieleLucena11 @elisa_poco @IsneyCunha @jusbs12 @Lula_Haddad_13 @MarivoneLula @NiltonA25851364 @RaquelS34723890 @sherjhon @valthecat40 @almir_otero @BetoLuz19731 @ClaraNu42942718 @dulcineiasrj @fadaropalazini @Gustavoucranian @liliamoema @marcilioap @mlmuraca @PeloniaLopes @RoliMarcia @SuzeteMendes12 @williansrangel @LulaOficial @ptbrasil @gleisi @uczai @paulopaim @Dep_ZeCarlosPT A Luta Democrática exige coragem de nós, hoje Fortaleza,  a Capital do Ceará se vestiu de Vermelho e foi às ruas !!! #Lula13Presidente eleito no primeiro turno pelo bem do Brasil",Lula,"                                               a luta democrática exige coragem de nós, hoje fortaleza,  a capital do ceará se vestiu de vermelho e foi às ruas !!!  eleito no primeiro turno pelo bem do brasil",Negativo
2022-07-30 23:16:43+00:00,1553519990795542528,"to aqui na casa do meu pai né, ai fui pegar uma toalha pra tomar banho. tinha duas, uma outra vermelhinha e uma da minha irmã. ai peguei a outra pra n pegar a da minha irmã. desdobrei era uma toalha do lula.",Lula,"to aqui na casa do meu pai né, ai fui pegar uma toalha pra tomar banho. tinha duas, uma outra vermelhinha e uma da minha irmã. ai peguei a outra pra n pegar a da minha irmã. desdobrei era uma toalha do lula.",Neutro
2022-07-30 23:16:41+00:00,1553519984055357442,"@senadorhumberto @LulaOficial Claro que o povo tá fez pois eles tem água pra beber ,tomar banho e para tudo que a água é necessária .Graças ao nosso querido presidente.Bolsonaro reeleito no primeiro turno 🇧🇷🇧🇷🇧🇷",Lula,"  claro que o povo tá fez pois eles tem água pra beber ,tomar banho e para tudo que a água é necessária .graças ao nosso querido presidente.bolsonaro reeleito no primeiro turno 🇧🇷🇧🇷🇧🇷",Negativo
2022-07-30 23:16:41+00:00,1553519983015198721,@LulaOficial Luladrao volta pra prisão,Lula, luladrao volta pra prisão,Neutro
2022-07-30 23:16:41+00:00,1553519982968987649,quem vota no @LulaOficial É MAL CARÁTER!,Lula,quem vota no  é mal caráter!,Negativo
2022-07-30 23:16:41+00:00,1553519980657909762,@JanainaDoBrasil Se o Lula ganhar nós vamos parar o Brasil pra comemorar por 7 dias e 7 noites seguidas.,Lula, se o lula ganhar nós vamos parar o brasil pra comemorar por 7 dias e 7 noites seguidas.,Neutro
2022-07-30 23:16:40+00:00,1553519977864495107,@renancalheiros @LulaOficial Exato. Por isso voto Bolsonaro.,Lula,  exato. por isso voto bolsonaro.,Neutro
2022-07-30 23:16:40+00:00,1553519976367247368,"@LulaOficial @ricardostuckert Para relembrar. 👉🏻Desvio de Dinheiro dos Transportes 👉🏻O pedido de propina de Waldomiro Diniz👉🏻A roubalheira nos Correios 
👉🏻Mensalão
👉🏻Os Dossiês forjados dos “Aloprados” 
👉🏻A queda de Palocci e o pedido de propina do PT em Ribeirão Preto
👉🏻O Petrolão. Corrupção do PT.",Lula,  para relembrar. 👉🏻desvio de dinheiro dos transportes 👉🏻o pedido de propina de waldomiro diniz👉🏻a roubalheira nos correios 👉🏻mensalão👉🏻os dossiês forjados dos “aloprados” 👉🏻a queda de palocci e o pedido de propina do pt em ribeirão preto👉🏻o petrolão. corrupção do pt.,Neutro
2022-07-30 23:16:39+00:00,1553519973687074818,"Em 2 de outubro entaremos apoiando essa turma nas urnas aqui no Paraná:

Presidente: @LulaOficial 
Governadora: @profangelapsol 
Senador:Laerson Matias
Deputada Estadual:@giovannapsol 
Dedutado Federal: Adriano Negocek",Lula,em 2 de outubro entaremos apoiando essa turma nas urnas aqui no paraná:presidente:  governadora:  senador:laerson matiasdeputada estadual: dedutado federal: adriano negocek,Negativo
2022-07-30 23:16:39+00:00,1553519972680359938,"@molimaxv @LulaOficial @ricardostuckert E cinquenta, pra irem",Lula,"   e cinquenta, pra irem",Neutro
2022-07-30 23:16:38+00:00,1553519970557906944,@LulaOficial Cala a boca vagabundo ladrão de nove dedos,Lula, cala a boca vagabundo ladrão de nove dedos,Neutro
2022-07-30 23:16:38+00:00,1553519967915606025,@ThiagoResiste LULA PRESIDENTE,Lula, lula presidente,Neutro
2022-07-30 23:16:36+00:00,1553519962815447040,@gleisi @LulaOficial @CamiloSantanaCE @elmanofreitaspt Fale a senha: kkkk https://t.co/8mBMDNaO61,Lula,    fale a senha: kkkk ,Neutro
2022-07-30 23:16:35+00:00,1553519959346741248,@globoplay LULA PRESIDENTE E HADDAD GOVERNADOR PELA GLÓRIA E HONRA DO NOSSO SENHOR JESUS CRISTO 🙏🙏🙏🙏🙏🙏🙏🙏✨💫⭐🌟😍❤️,Lula, lula presidente e haddad governador pela glória e honra do nosso senhor jesus cristo 🙏🙏🙏🙏🙏🙏🙏🙏✨💫⭐🌟😍❤️,Neutro
2022-07-30 23:16:35+00:00,1553519957224349696,"@DeputadoFederal @LulaOficial Sei não, acho que não vai dar muito certo!",Lula,"  sei não, acho que não vai dar muito certo!",Neutro
2022-07-30 23:16:34+00:00,1553519954984681473,"@gugachacra Líder está nosso presidente Lula, o resto não interessa.",Lula," líder está nosso presidente lula, o resto não interessa.",Neutro
2022-07-30 23:16:34+00:00,1553519954967797763,"@LulaOficial @ricardostuckert Povo já tem seu candidato definido é Bolsonaro,  então só vai ser 22 na tampa.",Lula,"  povo já tem seu candidato definido é bolsonaro,  então só vai ser 22 na tampa.",Neutro
